ID,NAME,LINES,NETWORK,Zone,EASTING,NORTHING,LAT,LONG
459,Westferry ,Metropolitan,London Underground,7,502581,196095,-0.516985176,51.65380677
460,Westminster,Metropolitan,London Underground,7,505716,194601,-0.472133393,51.63979883
461,Westompton,Metropolitan,London Underground,7,508606,193503,-0.430710233,51.6293749
462,White City,Metropolitan,London Underground,7,507909,195403,-0.44019171,51.64658792
463,White Hart Lane,Metropolitan,London Underground,7,509569,196596,-0.415832512,51.65699167
464,Whitechapel,n/a,London Overground,7,535936,201110,-0.033083485,51.69180047
466,Willesden Green,Metropolitan,London Underground,8,499634,197564,-0.559159868,51.66754646
467,Willesden Junction,n/a,London Overground,8,536644,202316,-0.022373213,51.70246665
469,Wimbledon,n/a,London Overground,8,511021,197351,-0.394615064,51.6634936
470,Wimbledon ,n/a,London Overground,8,511823,195237,-0.38369919,51.64433251
471,Wimbledon Park,Metropolitan,London Underground,9,496079,201633,-0.609421076,51.70474175
472,Wood Green,Metropolitan,London Underground,9,496372,198181,-0.606146762,51.67366188
473,Wood Lane,n/a,London Overground,0,534775,186528,-0.055484597,51.56103029
474,Woodford,n/a,London Overground,0,534111,170555,-0.071128264,51.41763277
475,Woodgrange Park,n/a,TfL Rail,0,559339,193033,0.301589064,51.61307149
476,Woodside,n/a,TfL Rail,0,561361,194981,0.331671253,51.6300009
477,Woodside Park,n/a,London Overground,0,541821,185350,0.045631091,51.54871611
478,Woolwich Arsenal ,n/a,London Overground,0,521879,182944,-0.242688895,51.5317515
